Area,Company,Date,VarAll,ValueAll
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-02-01,1总产量颗粒料产量,5099.06
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-02-01,1总产量颗粒料产量,5489.5
北方区 BAI SHAN LIN,0318渭南正大,2020-02-01,1总产量颗粒料产量,1787.03
中东南区 HUO ER FENG,0403合肥正大,2020-02-01,1总产量颗粒料产量,9442.66
中东南区 HUO ER FENG,0406滁州正大,2020-02-01,1总产量颗粒料产量,4120.68
中东南区 HUO ER FENG,0502开封正大,2020-02-01,1总产量颗粒料产量,8285.17
中东南区 HUO ER FENG,0506驻马店正大,2020-02-01,1总产量颗粒料产量,5226.89
中东南区 HUO ER FENG,0510河南东方,2020-02-01,1总产量颗粒料产量,16499.24
中东南区 HUO ER FENG,0511平顶山正大,2020-02-01,1总产量颗粒料产量,5113.46
中东南区 HUO ER FENG,0560周口正大,2020-02-01,1总产量颗粒料产量,2785.66
中东南区 HUO ER FENG,0518南阳正大,2020-02-01,1总产量颗粒料产量,14240.35
中东南区 HUO ER FENG,0702宁波正大,2020-02-01,1总产量颗粒料产量,9881.442
中东南区 HUO ER FENG,0804福州大福(饲料),2020-02-01,1总产量颗粒料产量,8047.2
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-02-01,1总产量颗粒料产量,4072.04
中东南区 HUO ER FENG,0862海南农牧,2020-02-01,1总产量颗粒料产量,4321.5
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-02-01,1总产量颗粒料产量,22539.78
中南区 ZHOU YONG SHUN,0569武汉水产,2020-02-01,1总产量颗粒料产量,268.56
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-02-01,1总产量颗粒料产量,78.32
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-02-01,1总产量颗粒料产量,32016.38
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-02-01,1总产量颗粒料产量,9803.4
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-02-01,1总产量颗粒料产量,17088.53
中南区 ZHOU YONG SHUN,0572潜江正大,2020-02-01,1总产量颗粒料产量,11713.26
中南区 ZHOU YONG SHUN,0507怀化正大,2020-02-01,1总产量颗粒料产量,15788.023
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-02-01,1总产量颗粒料产量,10077.002
中南区 ZHOU YONG SHUN,0515长沙正大,2020-02-01,1总产量颗粒料产量,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-02-01,1总产量颗粒料产量,909.555
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-02-01,1总产量颗粒料产量,12839.871
中南区 ZHOU YONG SHUN,0802南昌正大,2020-02-01,1总产量颗粒料产量,5678.67
中南区 ZHOU YONG SHUN,0803九江正大,2020-02-01,1总产量颗粒料产量,7310.282
中南区 ZHOU YONG SHUN,0604南宁正大,2020-02-01,1总产量颗粒料产量,10562.78
中南区 ZHOU YONG SHUN,0661武宣正大,2020-02-01,1总产量颗粒料产量,4722.42
中南区 ZHOU YONG SHUN,0613桂林正大,2020-02-01,1总产量颗粒料产量,4721.52
中南区 ZHOU YONG SHUN,0821阳江正大,2020-02-01,1总产量颗粒料产量,170.86
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-02-01,1总产量颗粒料产量,1059.235
西南区 BAI YU FEI,0601成都正大,2020-02-01,1总产量颗粒料产量,17891.885
西南区 BAI YU FEI,0603昆明正大,2020-02-01,1总产量颗粒料产量,9541.935
西南区 BAI YU FEI,0659大理正大,2020-02-01,1总产量颗粒料产量,7358.32
西南区 BAI YU FEI,0605内江正大,2020-02-01,1总产量颗粒料产量,11492.9
西南区 BAI YU FEI,0607双流正大,2020-02-01,1总产量颗粒料产量,3041.01
西南区 BAI YU FEI,0612绵阳正大,2020-02-01,1总产量颗粒料产量,17746.05
西南区 BAI YU FEI,0602重庆正大,2020-02-01,1总产量颗粒料产量,13608.41
西南区 BAI YU FEI,0609双桥正大,2020-02-01,1总产量颗粒料产量,11438.51
西南区 BAI YU FEI,0621贵阳正大,2020-02-01,1总产量颗粒料产量,12063.38
西南区 BAI YU FEI,0616广安正大,2020-02-01,1总产量颗粒料产量,8869.27
京津冀区 LI QING HE,0107石家庄正大,2020-02-01,1总产量颗粒料产量,6300.761
京津冀区 LI QING HE,0110邯郸正大,2020-02-01,1总产量颗粒料产量,2820.51
京津冀区 LI QING HE,0114天津农牧,2020-02-01,1总产量颗粒料产量,9871.02001
山东江苏区 JIANG BO,0424青岛农业,2020-02-01,1总产量颗粒料产量,12325.571
山东江苏区 JIANG BO,0405徐州正大,2020-02-01,1总产量颗粒料产量,3848.95
山东江苏区 JIANG BO,0407连云港正大,2020-02-01,1总产量颗粒料产量,9426.04
山东江苏区 JIANG BO,0408南通正大,2020-02-01,1总产量颗粒料产量,15775.649
山东江苏区 JIANG BO,0410泰州正大,2020-02-01,1总产量颗粒料产量,899.02
山东江苏区 JIANG BO,0412淮阴正大,2020-02-01,1总产量颗粒料产量,21302.795
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-03-01,1总产量颗粒料产量,9806.09
一条龙 YU JIAN PING,1412青岛科德饲料,2020-03-01,1总产量颗粒料产量,6512.4
一条龙 YU JIAN PING,0846湛江饲料,2020-03-01,1总产量颗粒料产量,6206.84
一条龙 YU JIAN PING,0175衡水正大,2020-03-01,1总产量颗粒料产量,2059.637
一条龙 YU JIAN PING,0589湖北正大,2020-03-01,1总产量颗粒料产量,25049.6
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-03-01,1总产量颗粒料产量,5418.76
北方区 BAI SHAN LIN,0213正大永吉,2020-03-01,1总产量颗粒料产量,6293.88
北方区 BAI SHAN LIN,0203沈阳正大,2020-03-01,1总产量颗粒料产量,8410.22
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-03-01,1总产量颗粒料产量,2044.18
北方区 BAI SHAN LIN,0302山西正大,2020-03-01,1总产量颗粒料产量,6084.569
北方区 BAI SHAN LIN,0303陕西正大,2020-03-01,1总产量颗粒料产量,8745.21
北方区 BAI SHAN LIN,0305内蒙古正大,2020-03-01,1总产量颗粒料产量,21291.35
北方区 BAI SHAN LIN,0323内蒙-五原,2020-03-01,1总产量颗粒料产量,5014.07
北方区 BAI SHAN LIN,0170张家口正大,2020-03-01,1总产量颗粒料产量,1547.587
北方区 BAI SHAN LIN,0301兰州正大,2020-03-01,1总产量颗粒料产量,16414.23
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-03-01,1总产量颗粒料产量,14626.69
北方区 BAI SHAN LIN,0306银川正大,2020-03-01,1总产量颗粒料产量,5548.29
