Area,Company,Date,VarAll,ValueAll
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0572潜江正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0507怀化正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0515长沙正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0802南昌正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0803九江正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0604南宁正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0661武宣正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0613桂林正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0821阳江正大,2020-05-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0601成都正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0603昆明正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0659大理正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0605内江正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0607双流正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0602重庆正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0609双桥正大,2020-05-01,Actual2021,0.0
西南区 BAI YU FEI,0621贵阳正大,2020-05-01,Actual2021,0.0
