Area,Company,Date,VarAll,ValueAll
北方区 BAI SHAN LIN,0318渭南正大,2021-05-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0403合肥正大,2021-05-01,1Cap2021,22500.0
中东南区 HUO ER FENG,0406滁州正大,2021-05-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0502开封正大,2021-05-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0506驻马店正大,2021-05-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0510河南东方,2021-05-01,1Cap2021,20000.0
中东南区 HUO ER FENG,0511平顶山正大,2021-05-01,1Cap2021,12000.0
中东南区 HUO ER FENG,0560周口正大,2021-05-01,1Cap2021,15000.0
中东南区 HUO ER FENG,0518南阳正大,2021-05-01,1Cap2021,25000.0
中东南区 HUO ER FENG,0702宁波正大,2021-05-01,1Cap2021,17500.0
中东南区 HUO ER FENG,0804福州大福(饲料),2021-05-01,1Cap2021,20500.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2021-05-01,1Cap2021,10000.0
中东南区 HUO ER FENG,0862海南农牧,2021-05-01,1Cap2021,8400.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2021-05-01,1Cap2021,20000.0
中南区 ZHOU YONG SHUN,0569武汉水产,2021-05-01,1Cap2021,13500.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2021-05-01,1Cap2021,6250.0
