Year,Date,VarAll,ValueAll
2014,5/1/2020,3Actual,539.9598986500001
2015,5/1/2020,3Actual,508.698
2016,5/1/2020,3Actual,614.624
2017,5/1/2020,3Actual,646.996
2018,5/1/2020,3Actual,701.703
2019,5/1/2020,3Actual,717.361
2020,5/1/2020,3Actual,771.5704385199999
2005,6/1/2020,3Actual,485.949928
2006,6/1/2020,3Actual,417.12668279999986
2007,6/1/2020,3Actual,486.27231351
2008,6/1/2020,3Actual,548.6385243999998
2009,6/1/2020,3Actual,529.9010808099999
2010,6/1/2020,3Actual,468.37397716999993
2011,6/1/2020,3Actual,550.563117
2012,6/1/2020,3Actual,587.214842
2013,6/1/2020,3Actual,546.2377559999998
2014,6/1/2020,3Actual,541.5875228500001
2015,6/1/2020,3Actual,497.834
2016,6/1/2020,3Actual,621.028
2017,6/1/2020,3Actual,646.606
2018,6/1/2020,3Actual,681.533
2019,6/1/2020,3Actual,651.022
2020,6/1/2020,3Actual,781.5208040100003
2005,7/1/2020,3Actual,516.9494007299999
2006,7/1/2020,3Actual,434.241417
2007,7/1/2020,3Actual,523.31223273
2008,7/1/2020,3Actual,512.26049806
2009,7/1/2020,3Actual,545.9959097800001
2010,7/1/2020,3Actual,528.1940624900002
2011,7/1/2020,3Actual,602.35933205
2012,7/1/2020,3Actual,636.282405000001
2013,7/1/2020,3Actual,569.2413499999999
2014,7/1/2020,3Actual,577.98761651
2015,7/1/2020,3Actual,538.64
2016,7/1/2020,3Actual,589.906
2017,7/1/2020,3Actual,630.775
2018,7/1/2020,3Actual,693.833
2019,7/1/2020,3Actual,646.964
2020,7/1/2020,3Actual,855.6802985100001
2005,8/1/2020,3Actual,548.5170719999998
2006,8/1/2020,3Actual,478.87304
2007,8/1/2020,3Actual,594.9651064799999
2008,8/1/2020,3Actual,531.81819984
2009,8/1/2020,3Actual,620.3608742000001
2010,8/1/2020,3Actual,588.2339380699999
2011,8/1/2020,3Actual,693.48624797
2012,8/1/2020,3Actual,676.9687569999999
2013,8/1/2020,3Actual,623.1453219000001
2014,8/1/2020,3Actual,635.6191525300001
2015,8/1/2020,3Actual,571.145
2016,8/1/2020,3Actual,650.071
2017,8/1/2020,3Actual,696.109
2018,8/1/2020,3Actual,757.192
2019,8/1/2020,3Actual,695.346
2020,8/1/2020,3Actual,855.3077353799997
2005,9/1/2020,3Actual,555.5270209999999
2006,9/1/2020,3Actual,508.6551161099999
2007,9/1/2020,3Actual,583.1717397300001
2008,9/1/2020,3Actual,549.21640439
2009,9/1/2020,3Actual,662.4626789799999
2010,9/1/2020,3Actual,588.4806034999999
2011,9/1/2020,3Actual,757.1645458400002
2012,9/1/2020,3Actual,677.1130169999998
2013,9/1/2020,3Actual,655.8886389999999
2014,9/1/2020,3Actual,659.9023973000001
2015,9/1/2020,3Actual,588.007
2016,9/1/2020,3Actual,679.413
2017,9/1/2020,3Actual,768.663
